SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity,steeringIntensity_S1,steeringIntensity_S2,steeringIntensity_S3,steering2,timeDecreasingThrottle,timeDecreasingThrottle_S1,timeDecreasingThrottle_S2,timeDecreasingThrottle_S3,timeIncreasingThrottle,timeIncreasingThrottle_S1,timeIncreasingThrottle_S2,timeIncreasingThrottle_S3,timeSameThrottle,timeSameThrottle_S1,timeSameThrottle_S2,timeSameThrottle_S3
13645891850117116e3,1,12749,12652.40138733476,1,0,1,0,0.1170031773038658,0,0.260123135255916,0,0.07518118619918823,1,0.07518118619918823,1,0.8478233680188892,1,0.6616787378277096,1,1,1,0.27995310029899034,0.14417187463088602,333,0.07745074132279177,7.941903210393503e-4,0.06531993393808966,0.09906008379103669,0.09160480941181771,950,0,950,0,1551,0,1551,0,10198,2099,3300,4799
16597095390720266e3,2,12745,12654.77533529807,1,0,1,0,0.13236977500239713,0,0.28984416250524847,0,0,1,0,0.974166452884674,0.8490906205233625,1,0.675079515781896,0.9933311852316061,0,1,0.28317241346118555,0.14550860059958529,329,0.07629496327311831,0.003627878721487572,0.05919331636555874,0.1526322682770161,0.09210992230882255,301,0,251,50,501,0,301,200,11893,2102,5237,4554
11440267201681189e3,4,12729,12659.249111349927,1,0,1,0,0.10787664068192832,0,0.23327171019254594,0,0,1,0,1,0.8682040885797604,1,0.7150054223134983,1,0,1,0.2698730476202106,0.12827476694236456,331,0.09253256698940705,7.658858568360162e-4,0.07993503094112098,0.1503725775942998,0.11517182771069764,251,0,251,0,250,0,250,0,12145,2035,5355,4755
141633e14,2,12737,12665.53778885656,0.794186354,0,0.794186354,0,0.0678723110873363,0,0.15542759239000004,0,0,1,0,1,0.8470310804672488,1,0.6497011742700002,1,0,0,0.31397278231865206,0.10011310073396626,305,0.08285375508237877,7.435507448193506e-4,0.06816807809795226,0.16947277843477052,0.09640110164847163,267,0,267,0,217,0,217,0,12187,2169,5063,4955
136746e14,1,12760,12671.564658403024,1,0,1,0,0.07025136790638277,0,0.16028224716504855,0,0,1,0,1,0.8436052851191486,1,0.6431771068252425,1,1,1,0.2841590948082496,0.14689411345011574,316,0.058952544390916704,3.3038051411565165e-4,0.04724128854365185,0.08246470438145233,0.06981898512723406,584,0,584,0,1518,0,1518,0,10608,2151,3653,4804
6231027125348401e3,1,12729,12677.589701718603,1,0,1,0,0.09631110088327752,0,0.20731372563010525,0,0,1,0,1,0.8182529741238184,1,0.6087818256563555,1,0,1,0.25753043848846785,0.10503616659262952,332,0.06750559521918266,8.054796160305358e-4,0.056257994836228425,0.14066982915127205,0.08292559157867854,251,0,251,0,850,0,850,0,11595,2052,4805,4738
238225001016730240,1,12728,12677.640800073144,0.9540855884552002,0,0.9540855884552002,0,0.08985187633058757,0,0.1926485145054126,0,0,1,0,1,0.7885698466580142,1,0.5466794169870981,1,1,1,0.21633984597260403,0.20581702479424088,329,0.06824859909691924,8.946964830607169e-5,0.057770108169131244,0.08519536471971442,0.082646298226083,600,0,600,0,1251,0,1251,0,10794,2001,4039,4754
183347e13,3,12776,12688.620575588937,0.853376031,0,0.853376031,0,0.0875187957341773,0,0.19029316136697252,0,0.005676356,1,0.005676356,1,0.8471927422573838,1,0.6677493570183487,1,1,1,0.2757629284104675,0.18173557800450313,317,0.059754324528682616,6.950610275799578e-4,0.04749282192945808,0.09681206606110798,0.07267215610590717,635,0,635,0,1684,0,1684,0,10374,2118,3453,4803
3397261924944538600,8,12762,12689.13542411138,1,0,1,0,0.11316757514251476,0,0.24359800073049828,0,0,1,0,1,0.8110236217539138,1,0.5932203383516456,1,1,1,0.2628578192979356,0.11774863200505344,332,0.07143800857839201,0.00120733954498498,0.06026687335705024,0.08959363777720725,0.08757369425988812,651,0,651,0,1302,0,1302,0,10759,2051,3953,4755
5281819728018242e3,2,12729,12689.268700035376,1,0,1,0,0.10413612947309647,0,0.22518325433071332,0,0,1,0,1,0.8008960606787987,1,0.5694590030062914,1,0,1,0.2764432655585318,0.15050599973820464,332,0.06414565803517867,4.996902668868997e-4,0.05314919582416666,0.09701696373668622,0.08099699933319979,500,0,500,0,2203,0,2203,0,9943,2002,3153,4788
