SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity
146505e14,2,12829,12764.754182319832,1,0,1,0,0.0653330658691983,0,0.1474660629619048,0,0,1,0,1,0.8621412737172996,1,0.6888331606761904,1,0,0,0.30030660013169697,0.15281091573583813,318,0.12122330644633847
4636621705041619e3,3,12829,12769.851273314764,0.7792171835899353,0,0.7792171835899353,0,0.08919038661127585,0,0.19727704157239878,0,0,1,0,0.9178301692008972,0.7842971211588334,1,0.525534549392602,0.9968847179412842,0,1,0.240095142423415,0.11905711506158854,330,0.06681259054125083
1792376595243987e4,4,12812,12773.01666001942,0.9985198974609376,0,0.9985198974609376,0,0.11003967330146305,0,0.2424602971049185,0,0,1,0,1,0.812602602489866,1,0.5870904800624163,1,1,1,0.25760400381307474,0.15157464045902908,331,0.08134219401300648
9380732602589082e3,8,12862,12773.962126325114,1,0,1,0,0.11292289222422894,0,0.24977012602138807,0,0,1,0,1,0.8544152310096667,1,0.6779862313010432,1,0,0,0.27746138612414317,0.10828857644879122,332,0.1160688906872928
17962844060030706e3,3,12846,12777.373748792535,1,0,1,0,0.11485914946407892,0,0.2499875605982895,0,0,1,0,1,0.8387426172147603,1,0.649028049232125,1,1,1,0.2886726654783878,0.11833833227135895,331,0.12030330780966382
3397261924944538600,9,12862,12779.002482244849,1,0,1,0,0.12904030647669118,0,0.2841055487133874,0,0,1,0,1,0.8280125357608754,1,0.6213385241121806,1,1,1,0.27359604953318994,0.11852297716807612,332,0.10277352730154983
3397261924944538600,1,12862,12779.932724673145,0.9250171780586244,0,0.9250171780586244,0,0.09070871194526008,0,0.19971161789628655,0,0,1,0,1,0.7896196722330252,1,0.5368096985298547,1,0,1,0.2340593150685797,0.18431965119335345,330,0.08497477339054693
1686956066918641200,5,12862,12782.192198011617,1,0,1,0,0.11659721445775678,0,0.25670983351203575,0,0,1,0,1,0.8292528263911714,1,0.6240692480208998,1,1,1,0.2644516043161683,0.1759911739923829,333,0.09698324298453835
967483616622588e4,3,12846,12782.28930847605,1,0,1,0,0.0997828951968999,0,0.21702779705325775,0,0,1,0,1,0.8147455941336196,1,0.597071667240622,1,1,1,0.2710564704980174,0.09439814625787037,329,0.06088821872006097
734171e12,1,12862,12785.385481621175,1,0,1,0,0.07916465683690974,0,0.1808369121862746,0,0,1,0,1,0.8205509551759659,1,0.5900820838823531,1,1,1,0.2872683940456963,0.1411018737199084,317,0.07388220403249576
1686956066918641200,6,12829,12788.791264765565,1,0,1,0,0.11885480154519829,0,0.2585091933608058,0,0,1,0,1,0.8319751339682673,1,0.6345459163809815,1,1,1,0.2663755117666181,0.12882047995447848,332,0.0817688102088815
1792376595243987e4,3,12862,12790.549722163249,0.9892423748970032,0,0.9892423748970032,0,0.11247535652786737,0,0.24557119508584346,0,0,1,0,1,0.8176671515808986,1,0.6019066142849622,1,1,1,0.2621310031945757,0.15906877104939302,330,0.06994934229515941
